name,num_game,avg_rating
Alexandress,1,8.33
Alexeibelih,1,4.86
Alexey Roenko,2,8.88
Alfa-Omega,2,7.08
Alfred & Vige,1,10
Alfred Lam,1,8.33
Ali Asfand,1,9.27
Alibi,2,5.08
Alice & Smith,3,9.19
Alien Jellyfish,4,7.71
Alien Mind,1,5
Alien Nude LTD,1,8.57
Alien Octopus Studio,1,0
Alien Pixel Studios,1,9.56
Alientrap,7,7.87
Alina Digital,3,6.64
AliveIn Technology Ltd,1,10
Alix,1,8.21
Alkame Games,1,7.41
Alkemi,1,8.18
All Civilized Planets,1,7.5
All Parts Connected,1,9
All Seeing Eye Games,1,9.13
All Yes Good,1,8.51
All in! Games,1,8.37
"All-Star Apps, LLC",1,10
AllMySkyStudio,1,7.08
Allen Dayan,1,8.88
Alliance,1,8.1
Alliance Digital Media,2,7.73
AllianceInFaith,1,9.82
Allied Games Inc.,1,4.67
Allsvinn,1,7.5
Allusio,1,4.29
Allyi Games,1,3
Almighty Games,4,8.05
Almost Human Games,2,9.24
Almost Infinity Games LLC,1,10
AlonZubina,1,8.28
Alone Games,1,10
Alongini,1,3.39
Alpha Graphic Designs,1,10
Alpha Strike Games Limited,1,8
Alpha unit,1,8.33
Alpha72 Games,1,8.57
AlphaSoft LLC,1,7.13
Alphaquest Games Studio,1,6.47
Alpheratz*,2,7.54
Also Jack,1,7.5
AltImage Games,1,10
Altabestudio,1,0
Altai Game Studio,1,6.02
Altair Game,2,5.95
AltairRozali,1,8
AlteredPlanets,1,1.9
Alterego Games,1,8.06
Alterindie LLC,1,7.27
Alternative Software,1,6.67
Alternative Software Ltd,8,6.74
Altfuture,2,9.14
"Alvios, Inc.",2,8.78
AlyStudio,2,10
"Alzan Studios, LLC",2,7.68
AmagSwag Games,1,5.71
Amanita Design,5,8.88
AmanotesJSC,1,10
Amaranth Games,1,7.08
Amaterasu Software,11,5.2
Amaweks Games,1,9.23
Amazastrophic,1,5.71
"AmazeVR, Inc",1,7.44
Amazing VR,1,10
Amazu Media,1,8.91
"Amber Garage, Inc.",1,5.71
AmberDrop,1,10
Ambiera,3,5.84
Ambiera e.U.,1,7.06
Ameet Sharma,1,10
Ametist studio,1,9.15
Amigo VR,1,3.89
Amigo VR Studio,1,4.85
Amistech Games,1,9.07
Ammon Beardmore,1,10
Ammonite Design Studios Ltd,2,5
Among Giants,1,7.21
Amplecti Chao,1,4.44
Amrita Studio,1,6.29
Amstad Digital,1,0
Amund Farifteh,1,7
AmusedSloth,1,9.56
Amusitronix,1,5
AnRaEl,1,9.41
Analgesic Productions,3,8.4
Analog Casual Studios,1,10
Anamik Majumdar,11,4.17
Anarch Entertainment,1,10
Anarchy Enterprises,9,5.52
Anarchy Interactive,1,6
Anarchy Softworks LLC,2,7.98
Anarkica Games,1,2.5
Anarkis Gaming,2,6.44
Anarquico,1,10
Anate Studio,4,8.21
Anatola Howard,1,9.68
Anatolian ODS,1,6.67
Anatoliy Loginovskikh,10,8.23
Anatoly Konstantinov,1,7.08
Anawiki Games,8,6.56
Anazz,1,1.43
Anchor Reality,2,8.05
Anchora Games,1,5.29
AncientSky Games,1,8.7
AndAll Interactive,1,5
Andeolab,1,5.29
AnderShi,1,0
Andiks LTD.,1,5.59
Andreas Ammer,1,10
Andreas Aust,1,8.89
Andreas Britten,1,10
Andreas Cavazzini,1,10
Andreas Hager Gaming,1,8.22
Andrei Romanov,1,9.11
Andreil Game,1,6.67
Andrettin,1,8.2
Andrew C. Wang,1,6
Andrew Chuprina,1,6.36
Andrew French,1,10
Andrew Higgins,1,7.5
Andrew Rodenhiser,1,7.3
Andrew Rowe,2,5.16
Andrew Stout,1,8.95
Andrew Willman,1,9.3
AndrewDrumov,1,3.66
Andrey Malyarov,1,4.83
Andrey Scanarri (Scanarri),1,8.57
Andrii Vintsevych,3,7.45
Androzz,1,6.25
Andwhy,1,10
Andy Howard Games,1,5.28
Andy Jurko,14,9.55
Andy Mark,1,10
Andy Zelonis,1,3.33
Andymente,1,10
Anea_Duo_Dev,3,7.13
Anea_Duo_Dev ,1,7.69
AnelaGamesStudio,4,7.38
Angel T,1,3.33
Angels And Demons,1,6.67
Angels And Demons;Tetabester;Inca Games,1,6
Angry Array,1,6.25
Angry Cat Ltd.,1,8.57
Angry Cat Studios,1,3.33
Angry Demon Studio,1,8.49
"Angry Hangar Games, LLC",1,7
Angry Mob Games,2,7.43
Angry Rabbit Studios,1,7.3
Angry Skull Studios,1,6.11
Angry games,2,7.03
Angus Seung,3,8.08
